word	rn	semcat	subcat	semkey
ATTACHMENT	2	Vjoin	4d.2/1.3	6.13.3
ATTACK	54	Vfigh	4b.2/	6.5
ATTACKER	6	Vfigh	4b.2/	6.5
ATTACKS	4	Vfigh	4b.2/	6.5
ATTAIN	12	Vacq	4f.3/	6.21
ATTEMPT	22	Vact	4a/	6.2
ATTEND	6	Vact	4a/2.2	6.2.2.2
ATTENDANTS	6	Vact	4a/	6.2
ATTENTIO	2	Vpsi	5d/1.11.1	
ATTENTION	2	Vpsi	5d/1.11.1	8.3.1.11.1
ATTENTIVE	38	Vpsi	5d/1.11.1	8.3.1.11.1
ATTIC	2	Ndwel	9c/2	5.11.9.2
ATTITUDE	1	Vpsi	5d/	8.3
ATTRACTED	10	Vadj	5c/8.3	7.1.8.3
ATTRACTIVE	36	Vadj	5c/3.2	7.1.3
ATTUNE	2	Nmus	9a/	5.1
AUDIBLE	2	Vbp	1b/2.7.4	1.2.7.4
AUDIBLY	4	Vbp	1b/2.7.4	1.2.7.4
AUDITORY	4	Vbp	1b/2.7.4	1.2.7.4
AUGMENT	8	G	8/4.2	10.4.2
AUGMENTED	2	G	8/4.2	10.4.2
AUGUST	116	Ntime	6i/1	9.1.2
AUNT	952	Nkin	3b/1	4.7.1
AURAL	3	Nbp	1a/2.7.4	1.2.7.4
AURICLE	3	Nbp	1a/7.1	1.7.1
AUSPICIOU	0	Error	x/	x.x
AUSPICIOUS	4	Nrel	9d/2.3	5.8.2.3
AUSTERITIE	0	Nabst	5a/	
AUSTERITIES	2	Nabst	5a/	
AUTHORITATIVELY	6	Vadj	5c/10	
AUTHORITY	8	Nhum	3a/5.4	4.2.5.3
AUTOMOBILE	6	Nconv	9a/	5.11.2
AUTONYM	106	Nhum	3a/1	4.6
AUTUMN	116	Ntime	6i/1	9.1.2
AUX	6	G	8/2.2	10.2.2
AUXILIARY	6	G	8/2.2	10.2.2
AVAILABLE	4	Vabst	5b/	8.2
AVALANCHE	6	Nnat	2c.1/7	3.2.6
AVARICE	2	Vpsi	5d/1.14.2	8.3.1.14.2
AVENGE	34	Vact	4a/	6.2
AVERAGE	2	Vadj	5c/8.3	7.1.8.3
AVERT	2	Vact	4a/	6.2
AVIAN	4	Nanim	2a.1/11	2.2.4
AVO	0	Error	x/	x.x
AVOID	42	Vact	4a/	6.2
AWAIT	22	Vpsi	5d/1.7.3	8.3.1.7.3
AWAKE	262	Vbp	1b/1.4	1.1.4
AWAKEN	48	Vbp	1b/1.4	1.1.4
AWARE	3	Vpsi	5d/1.11.1	8.3.1.11.1
AWARENES	0	Vpsi	5d/1.11.1	
AWARENESS	8	Vpsi	5d/1.11.1	8.3.1.11.1
AWAY	750	Spat	6j/4	9.2.4
AWAY!	2	Spat	6j/4	9.2.4
AWE	4	Vpsi	5d/1.15	8.3.1.15
AWED	2	Vpsi	5d/1.15	8.3.1.15
AWHILE	2	Ntime	6i/4	9.1.5
AWKWARD	8	Vadj	5c/3.1	9.6.2.2
AWL	10	Ntool	9a/3	5.11.5.3
AWN	2	Nveg	2b.1/4.2	3.1.8
AWRY	4	Vshiz	6f/	9.7.2
AX	146	Ntool	9a/3	5.11.5.3
AXE	198	Ntool	9a/3	5.11.5.3
AXLETREE	2	Nconv	9a/	5.11.2
B	8	Error	x/	x.x
