hptbid	plg	protoform	gloss	pages	mainpage	init	allofams	semclass	semclass2	tags	etyma_links
171	PLB	*m-diŋ¹ ⪤ *ʔ-diŋ¹	settled / come to rest	123, 308		*d	*diŋ	place		?	
172	PTB	*m/s-diŋ	settled / fix / establish	307		*d	*diŋ	place			
173	PTB	*dip ⪤ *tip	beat / strike	498		*d	*dip ⪤ *tip	tool		2206	2206
174	PLB	*ʔ-ditᴸ	whistle / trill	349		*d	*dit	noise		?	
175	PTB	*do	be related (as kin)	204		*d	*do	kinship		2198	2198
177	PLB	*m-doŋ¹ ⪤ *m-daŋ¹	drink	123		*d	*doŋ ⪤ *daŋ	water			
179	PTB	*doy	younger sibling	221, 228		*d	*doy	kinship		2707	2707
180	PLB	*du¹	irrealis particle	180		*d	*du	kinship		?	
181	PLB	*ʔ-dukᴸ	burn / kindle	315		*d	*duk	light		?	
182	PTB	*duk	burn / kindle	331, 362		*d	*duk	light			
183	PTB	*g-duk	daytime / noon	363		*d	*duk	light		?	
184	PTB	*duk ⪤ *tuk	poison	357, 363		*d	*duk ⪤ *tuk	bodypart		2202	2202
185	PTB	*r-dul ⪤ *r-tul	dust	415, 422		*d	*dul ⪤ *tul	light		2203	2203
186	PTB	*duŋ	wing	285		*d	*duŋ	animal		711?	711
187	PLB	*duŋ¹	wing	19		*d	*duŋ	animal			
188	PTB	*m-duŋ	sword / spear	284		*d	*duŋ	tool		2205	2205
189	PTB	*m/r-duŋ	mountain / hillock	285, 310		*d	*duŋ	place		?	
190	PTB	*r-duŋ	beat / strike	309, 363		*d	*duŋ	tool		?	
191	PTB	*duːŋ	post / column	287		*d	*duːŋ	tool		?	6073
192	PTB	*duŋ ⪤ *tuːŋ	long / length	288		*d	*duŋ ⪤ *tuːŋ	place		2204	2204
193	PTB	*m-duŋ/k ⪤ *m-tuŋ/k	sit	288, 523		*d	*duŋ/k ⪤ *tuŋ/k	place		1906	1906
194	PTB	*dup ⪤ *tup	beat / strike	498		*d	*dup ⪤ *tup	tool			
195	PTB	*s-dut	tie / knot / conclude / finish	368		*d	*dut	tool	clothe	2207	2207
196	PTB	*dwan ⪤ *twan	wrinkle / shrink	258		*d	*dwan ⪤ *twan	tool		2717	2717
197	PTB	*dwaːŋ	hole / cave / pit / well (for water)	269		*d	*dwaːŋ	place		822,2208	822,2208
198	PLB	*dwaŋ²	well (for water)	249		*d	*dwaːŋ	water			
199	PTB	*dway	put together / be even with / come up to	214		*d	*dway	place		?	
200	PTB	*dway ⪤ *nway	hang from / cling to / creeper	214		*d	*dway ⪤ *nway	place		?	
201	PTB	*dyak	hand / arm	65		*d	*dyak	bodypart		699	699
202	PTB	*m-d(y)ak	good	51		*d	*d(y)ak	kinship		3380	3380
203	PTB	*d(y)al	lip	405		*d	*d(y)al	bodypart		448	448
204	PTB	*dyal ⪤ *tyal	village	65, 406		*d	*dyal ⪤ *tyal	place		2209	2209
205	PTB	*dyam ⪤ *tyam	straight / flat / full	51, 65, 307		*d	*dyam ⪤ *tyam	place		2210	2210
206	PTB	*dyuŋ	insect / bug	310		*d	*dyuŋ	animal		2212	2212
207	PLB	*ʔ-dzakᴸ	join	315		*dz	*dzak	tool		?	
208	PTB	*s-dzak	join	317		*dz	*dzak	tool			
209	PTB	*m-dzam	bridge	251, 257		*dz	*dzam	tool		?	3604
210	PLB	*m-dzam¹	bridge	19, 253, 254, 530		*dz	*dzam	tool			3604
211	PLB	*ʔ-dzan¹	arrow	260		*dz	*dzaːn	tool		?	
212	PNN	*(la)-dzaːn	arrow	260		*dz	*dzaːn	tool			
213	PTB	*dzar	sister (of a man)	34, 385, 388, 391		*dz	*dzar	kinship		2215	2215
214	PTB	*r-dzas	thing	432, 437		*dz	*dzas	natural		?	
215	PTB	*dzay	cattle / livestock / domestic animal	209		*dz	*dzay	animal		58	6171,58
216	PTB	*(d)zaːy ⪤ *(t)saːy	talent / aptitude / temperamant	210, 221		*dz	*(d)zaːy ⪤ *(t)saːy	bodypart		1388	1388
217	PLB	*m-dzəw²	ruler / lord / emperor	123		*dz	*dzəw	kinship		?	
218	PLB	*ʔ-dzəy¹	send on an errand / causative	199		*dz	*dzəy	kinship		?	
219	PLB	*ʔ-dzəy²	cough	189		*dz	*dzəy	bodypart		?	
220	PTB	*dzəy	seed	31, 190		*dz	*dzəy	plant		3559	3559
221	PLB	*dzəy²	sap	189		*dz	*dzəy	plant		2737?	2737
222	PLB	*m-dzəy¹	liquor	19, 189		*dz	*dzəy	water		?	
223	PLB	*ʔ-dzi²	dew	187		*dz	*dzi	water		?	
224	PTB	*dzik ⪤ *dziŋ	split / mince	31, 502		*dz	*dzik ⪤ *dziŋ	tool		?	
225	PTB	*(d)zil	dew	188		*dz	*(d)zil	water			
226	PTB	*g-dzim	sleep	305		*dz	*dzim	light		128	128
227	PTB	*dzin	exhaust / come to an end	306		*dz	*dzin	bodypart		?	
228	PTB	*dziŋ	plant (n.) / tree	281		*dz	*dziŋ	plant		?	
229	PTB	*dziŋ	relatives / ancestors	31, 529		*dz	*dziŋ	kinship		?	
230	PTB	*(d)ziːt ⪤ *(t)siːt	split	350		*dz	*(d)ziːt ⪤ *(t)siːt	tool		?	
231	PLB	*m-dziːtᴸ ⪤ *m-tsiːtᴴ	split	502		*dz	*(d)ziːt ⪤ *(t)siːt	tool			
232	PTB	*dzoŋ	wait / watch for	31, 294		*dz	*dzoŋ	light		?	
233	PTB	*dzum ⪤ *tsum	pair	272		*dz	*dzum ⪤ *tsum	number		?	
234	PTB	*dzwan	hawk / kite (bird of prey)	63, 258, 301		*dz	*dzwan	animal		2219	6193,2219
235	PLB	*dzwan¹	hawk / kite (bird of prey)	30, 259		*dz	*dzwan	animal			2219
236	PTB	*dzwaŋ	lofty / elevated	269		*dz	*dzwaŋ	place		?	
237	PLB	*dža¹	rice	19, 30, 163		*dzy	*dzya	plant		?	
238	PLB	*dža²	eat	19, 30		*dzy	*dzya	bodypart			
239	PTB	*dzya	eat / food / feed	34, 162, 165, 166, 169, 172, 251, 440, 442		*dzy	*dzya	bodypart			
240	PTB	*dzya	rice	168		*dzy	*dzya	plant			
241	PTB	*dzya-n	blush / red	451 (ERROR)		*dzy	*dzya	light		2683,2751	2683,2751
242	PTB	*dzya-n/k	eat / food / feed	177, 440, 442, 480		*dzy	*dzya	bodypart		36	36
243	PTB	*dzya-s	eat / food / feed	433, 440		*dzy	*dzya	bodypart			
244	PTB	*dzya-t	eat / food / feed	440, 454		*dzy	*dzya	bodypart			
245	PTB	*m-dzya	edge / side	169		*dzy	*dzya	bodypart		?	
246	PTB	*they	eat	205		*dzy	*dzya	bodypart		1708	1708
247	PTB	*m-dz(y)ak	drip / drop (n.)	324, 506		*dzy	*dz(y)ak ⪤ *ts(y)ak	water		190	190
248	PTB	*m-tsak ⪤ *t(s)ik	drip / drop (n.)	327		*dzy	*dz(y)ak ⪤ *ts(y)ak	water			
249	PLB	*m-tsakᴴ	drip / drop (n.)	329		*dzy	*dz(y)ak ⪤ *ts(y)ak	water			
250	PTB	*dzyaːl	far	66, 406, 425		*dzy	*dzyaːl	place		1779	1779
251	PLB	*džan¹	haze / fog	260		*dzy	*dzyan	light		?	
252	PTB	*jan	haze / fog	260		*dzy	*dzyan	light			
