lgid	name	abbr	grpid	source	iso	lgcode	sort	srcofdata	picode	pinotes	pi_page	notes
279	Ao (Chungli)	Ao	63	STC	njo	41	AO CHONGLI	CLA1911				
280	Ao (Chungli)	Ao Naga	63	STC	njo	41	AO CHONGLI	CLA1911				
281	Ao (Chungli)	Ao Naga	63	WSC-SH	njo	41	AO CHONGLI	STC<CLA1911				
282	Apatani	Apatani	73	ABR1985	apt	44	APATANI	ABR1985	Apat1		25	
283	Apatani	Ap	73	AW-TBT	apt	44	APATANI	AW-TBT	Apat2		26	trans. normalized
284	Apatani	Apatani	73	IMS-Apatani	apt	44	APATANI	IMS-Apatani	Apat3		24	
285	Apatani	Apatani A	73	JS-Tani	apt	44	APATANI	ABR1985	Apat1		25	
286	Apatani	Apatani S	73	JS-Tani	apt	44	APATANI	IMS-Apatani	Apat3		24	
287	Apatani	Apatani S	73	JS-HCST	apt	44	APATANI	IMS-Apatani	Apat3		24	
288	Apatani	Apatani W	73	JS-HCST	apt	44	APATANI	AW-TBT				
289	Arakanese	Arakanese	44	BER1965	rki	45	ARAKANESE					
290	Arakanese	AR	44	JO-PB	rki	45	ARAKANESE	JO-PB				
291	Asho	As	69	AW-TBT	csh	46	ASHO	AW-TBT				
292	Asho (Sandoway)	Asho (Sandoway)	69	GHL-PPB	csh	46	ASHO	GHL-PPB				
293	Athpare (Rai)	Ath	31	AW-TBT	aph	241	ATHPARE	AW-TBT?				
294	Atong	Ato	82	JAM-Ety	aot	47	ATONG	RB-PB	Aton1		28	
295	Atong	Atong	82	RB-PB	aot	47	ATONG	RB-PB	Aton1		28	
296	Awa Khumi	Awa Khumi	69	GHL-PPB	cka	143	KHUMI					Luce spells as K'umi
298	Bahing	Bah	30	AW-TBT	bhj	48	BAHING					
299	Bahing	Bahing	30	BM-Bah	bhj	48	BAHING	BM-Bah				As BM-PK7.bah
300	Bahing	Bahing	30	HOD1857	bhj	48	BAHING	HOD1857?				
301	Bahing	Bh	30	JAM-Ety	bhj	48	BAHING	STC				
302	Bahing	Bahing	30	JAM-GSTC	bhj	48	BAHING	STC				
303	Bahing	Bahing	30	JAM-VSTB	bhj	48	BAHING	STC				
304	Bahing	Bahing	30	RJL-DPTB	bhj	48	BAHING					
305	Bahing	Bahing	30	STC	bhj	48	BAHING	HOD1857				
