semkey	title	semcat	old_chapter	old_subchapter
8.3.2.5.3	Flatter	Vpsi	5d	2.5.3
8.3.2.5.4	Tolerate	Vpsi	5d	2.5.4
8.3.2.5.5	Ignore	Vpsi	5d	2.5.5
8.3.2.5.6	Disobedient	Vpsi	5d	2.5.6
8.3.2.5.7	Trust	Vpsi	5d	2.5.7
8.3.2.6	?			
8.3.2.6.1	Admire	Vpsi	5d	2.6.1
8.3.2.6.2	Envy	Vpsi	5d	2.6.2
8.3.2.7	?			
8.3.2.7.1	Flirt, seduce	Vpsi	5d	2.7.1
8.3.2.7.2	Entice, tempt	Vpsi	5d	2.7.2
8.3.2.8	Grudge	Vpsi	5d	2.8
8.3.2.9	?			
8.3.2.9.1	Forgive	Vpsi	5d	2.9.1
8.3.3	Verbs of Conscience and Shame			
8.3.3.1	Conscience/Vengeance	Vpsi	5d	3.1
8.3.3.2	?			
8.3.3.2.1	Kind	Vpsi	5d	3.2.1
8.3.3.2.2	Cruel	Vpsi	5d	3.2.2
8.3.3.3	?			
8.3.3.3.1	Discern	Vpsi	5d	3.3.1
8.3.3.4	?			
8.3.3.4.1	Honest	Vpsi	5d	3.4.1
8.3.3.4.2	Earnest/sincere	Vpsi	5d	3.4.3
8.3.3.4.3	Deceive	Vpsi	5d	3.4.4
8.3.3.4.3.1	Positive/neutral	Vpsi	5d	3.4.4.1
8.3.3.4.3.2	Negative	Vpsi	5d	3.4.4.2
8.3.3.5	?			
8.3.3.6	?			
8.3.3.6.1	Guilty	Vpsi	5d	3.6.2
8.3.3.7	?			
8.3.3.8	Pride	Vpsi	5d	3.8
8.3.3.8.1	Modest	Vpsi	5d	3.8.1
8.3.3.8.2	Ashamed	Vpsi	5d	3.8.3
8.3.3.9	Correct	Vpsi	5d	3.10
8.4	Feeling	Vfeel	5e	
8.5	Utterance	Vutt	5f	
8.5.1	Scold	Vutt	5f	1
8.5.2	Verbs of Complaint and Praise			
8.5.2.1	Complain	Vutt	5f	2.1
8.5.2.2	Compliment, praise	Vutt	5f	2.2
8.5.3	Declare	Vutt	5f	3
8.5.4	Verbs Expressing Communicative Affect			
8.5.4.1	Loud	Vutt	5f	4.1
8.5.4.2	Soft	Vutt	5f	4.2
8.5.4.3	Accented	Vutt	5f	4.3
8.5.4.4	Glottal sound	Vutt	5f	4.6
8.5.4.5	Choppy	Vutt	5f	4.7
8.5.5	Sounds	Vutt	5f	5
8.5.6	Answer	Vutt	5f	6
8.5.7	Bid	Vutt	5f	7
8.5.7.1	Ask	Vutt	5f	7.1
8.5.7.2	Implore/Coax	Vutt	5f	7.2
8.5.7.3	Coax	Vutt	5f	7.3
8.5.8	Banter/Discourse	Vutt	5f	8
8.5.9	Jest	Vutt	5f	9
8.5.10	Verbs of Verbosity and Intensity			
8.5.10.1	Talk, say	Vutt	5f	10.1
8.5.10.2	Garrulosity, verbosity	Vutt	5f	10.2
8.5.10.3	Talk with purpose of convincing	Vutt	5f	10.3
8.5.10.4	Falsehood	Vutt	5f	10.4
8.5.11	Formulaic	Vutt	5f	11
8.5.11.1	Introduction	Vutt	5f	11.2
8.5.11.2	Farewells	Vutt	5f	11.3
8.5.11.3	Apology/excuse	Vutt	5f	11.5
8.5.11.4	Invite	Vutt	5f	11.6
8.5.13	Beckon	Vutt	5f	13
8.5.14	Broadcast and Announce			
8.5.14.1	Spread information, present ideas	Vutt	5f	14.1
8.5.14.2	Reveal or give information	Vutt	5f	14.2
8.5.14.3	Explain	Vutt	5f	14.3
8.5.15	Boast	Vutt	5f	15
8.5.16	Dedicate	Vutt	5f	16
9.0	Shape, Size, Color, Measure, Number, Time, Space			
9.1	Time			
9.1.1	Adverbial uses	Ntime	6i	
9.1.2	Months and Years	Ntime	6i	1
9.1.3	Days	Ntime	6i	2
9.1.4	Times of Day	Ntime	6i	3
9.1.5	Other Intervals	Ntime	6i	4
3.2.12	Fire	Ntime	6i	5
9.2	Spatial terms	Spat	6j	
9.2.1	Up	Spat	6j	1
9.2.2	Down	Spat	6j	2
9.2.3	Sideways	Spat	6j	3
9.2.4	Apart	Spat	6j	4
9.2.5	Amid	Spat	6j	5
9.2.6	Around	Spat	6j	6
9.2.7	Extent	Spat	6j	7
9.2.8	Directions	Spat	6j	8
9.3	Sounds	Sound	6a	
9.4	Colors	Col	6b	
9.5	Change of state	Vcos	6c	
9.6	Qualities			
9.6.1	Positive/Desirable qualities	Vqual	6d	1
9.6.2	Negative Qualities	Vqual	6d	2
9.7	Shape/Size			
9.7.1	Shape and size	Nshiz	6e	
9.7.2	Verbs referring to size/shape	Vshiz	6f	
9.8	Measure Words	Meas	6g	
9.9	Numbers and numeric expression	Num	6h	
9.10	Locations			
9.10.1	Roads and Ways	Nloc	6k	1
9.10.2	Waterways/Having to do with water	Nloc	6k	2
9.10.3	Governable units (towns, parts of towns)	Nloc	6k	3
9.10.4	Farm/Agricultural places	Nloc	6k	4
9.10.5	Places in general, countries	Nloc	6k	4.0
9.10.6	Functional buildings/places	Nloc	6k	5
10.0	Grammatical Words	G	8	
10.1	Ontological	G	8	1
10.1.1	Prepositions	G	8	1.1
10.1.2	Conjunctives			
10.1.2.1	Compound	G	8	1.2.1
10.1.2.2	Subordination	G	8	1.2.2
10.1.3	Classifiers	G	8	1.3
10.2	Articles	G	8	2
10.2.1	Grammatical identifiers	G	8	2.1
10.2.1.1	Phonological entities	G	8	2.1.1
10.2.2	Morphological identifiers	G	8	2.2
10.2.3	?			
10.2.3.1	Nominative-accusative	G	8	2.3.1
10.2.3.2	Possessive	G	8	2.3.2
10.4	Affixes	G	8	4
10.4.1	Nominal			
10.4.1.1	Grammatical case	G	8	4.1.1
10.4.1.2	Animacy	G	8	4.1.2
10.4.1.3	Diminutivizer, intensifier, etc.	G	8	4.1.3
10.4.1.4	Person, #, gender	G	8	4.1.4
10.4.2	Verbal	G	8	4.2
10.4.2.1	Mood	G	8	4.2.1
10.4.2.4	Aspect, (in)transitivity, ergativity, causativity	G	8	4.2.4
10.4.2.6	Participles, gerunds, etc.	G	8	4.2.6
10.4.2.7	Nominalizers	G	8	4.2.7
10.4.3	Other			
10.4.3.1	Degrees of comparison	G	8	4.3.1
10.4.3.2	Demonstrators	G	8	4.3.2
10.5	?			
10.5.1	Structuring Words	G	8	5.1
10.5.2	Grammatical functions	G	8	5.2
10.5.3	WH words	G	8	6.1
10.6	Not, yes ?	G	8	7
10.6.1	Affirmative	G	8	7.1
10.6.2	Negative	G	8	7.2
10.7	Ejaculations	G	8	8
x.x	Errors and apocrypha	Error	x	
1.0	The Body	Nbp	1a	
1.1	Body Parts	Nbp	1a	1
1.1.1	Body	Nbp	1a	1.1
1.1.1.1	Flesh/Meat	Nbp	1a	1.1.1
